no,职位,公司名,薪资,经验,学历,位置,关键词,描述,详细位置,详情页
1,大数据类项目经理,潮析数据,15-25K,5-10年,本科,上海·闵行区·七宝,"销售支持/交付管理,计算机相关专业,大数据项目管理经验,实施交付经验","['岗位职责：', '1、负责了解客户需求，负责数仓/湖仓/数据中台/及BI指标体系/AI场景项目的建设需求调研、业务沟通,可行性判断；', '2、制定项目开发，设计评审，项目管理、进度跟进，实施与交付，风险把控整体项目实施交付；', '3、项目协调，管控后台资源，', '4、具有规划、引导、谈判能力；拥有基于业务到技术逻辑的项目管理模式；', '5、具有合伙人思维，注重项目复签、成果沉淀、方案沉淀、代码沉淀；', '6、辅助销售行业推广；', '任职要求：', '1、本科以上学历，计算机或相关专业；', '2、接受出差，具备3年以上项目管理经验，5年以上数据行业经验，有PMP证书优先；', '3、熟悉零售、制造数据分析业务主流解决方案；', '4、熟悉flink  iceberg/hudi Hadoop ML  BI等生态的优先；数据架构、数仓分层，湖仓转换，数据资产，流批处理']",上海闵行区宝龙城T6612,https://www.zhipin.com/job_detail/f403394554aede4f1XBy0tW9GFZR.html?lid=Jmb6qJ9UxO.search.1&securityId=S99BSdPA1v9AR-D1M2xNIYAARw3Zf_X3K1H_s-9AjjBIgCiuMxlJUH1lQo5YonWIrwryslq1xUtxHroVaBxeSreB32akNYHdHocexrsjNO6Pr7OdsBne&sessionId=
2,大数据 产品经理,万达信息,30-40K,5-10年,硕士,上海·静安区·南京西路,"大数据产品,产品设计,市场调研,大数据","['1、负责大数据相关产品（数据治理、数据建模、数据架构、数据管理、数据安全、数据运营等技术领域）的需求调研、规划，研究跟进行业相关产品和技术；', '2、负责大数据产品全过程管理，包括收集用户客户需求、进行市场和竞争分析、制定产品规划、设计产品功能等；', '3、负责大数据产品具体功能的设计，不断优化产品体验，能够撰写高质量的需求文档，并协调推动研发团队按时完成产品开发、高质量上线；', '4、参与项目工作，包括客户调研、咨询答疑、POC、招投标文档等。']",上海静安区嘉地中心32层,https://www.zhipin.com/job_detail/f10d379e45eb4a841nd42961F1VW.html?lid=Jmb6qJ9UxO.search.2&securityId=BxLa-lE6rcShZ-a1DZ5zadiJgh2j8MFbYjdcJHSjEDgwnGt6Ng8_YkN_YXF9QtU1i4etFLUILvwSxTvpTMkH5BCkW_B7zx-XCa4mtXOTmuaVL3au&sessionId=
3,elasticsearch 大数据,悦高软件,10-15K,1-3年,本科,上海·黄浦区·西藏南路,"搜索引擎技术,ELK","['上海，计算机相关专业，本科，1-3年工作经验', '工作职责：', '1、根据架构设计方案，完成 ELK 集群的搭建工作；', '2、根据架构师设计的数据收集与分析方案，理解并基于 Elastic 产品如 Filebeat Logstash Elasticsearch Kibana等快速高效地完成方案的实施落地工作。', '岗位要求：', '1、本科以上学历，计算机相关专业有加分；1-3年以上Elastic的工作经验；', '2、热爱开源产品并有实际使用经验，了解 Elastic 产品（如 Elasticsearch Kibana Logstash Beats）或有ELK 项目经验的有加分；', '3、需要良好的学习和研究能力，面对一个新产品或者特性时，可以在较快的时间内掌握；', '4、有良好的沟通和表达能力；', '5、经常参加Elastic 线下活动有加分，经常在中文社区讨论问题有加分。']",上海黄浦区上海市黄浦区科技创业中心(制造局路)2层,https://www.zhipin.com/job_detail/826cdf0878ead8761nF_3d24GVRU.html?lid=Jmb6qJ9UxO.search.3&securityId=JVQCHOU4bQ2JF-S1DRtfd2PVLEGRh2HiKAHUk4yJH8gkgwLL0RssbykR1wi2xEK7AGOXLud3ALbXu6GVSegsmXsbTWugxPKMWy05myI2Cr77gUTtygk~&sessionId=
4,大数据 开发工程师,彦冕信息科技,10-15K,1-3年,大专,上海·浦东新区·迪士尼,"数据仓库,SQL,Hive,NoSQL,Spark",,,https://www.zhipin.com/job_detail/626ed515d02f437f331y3dq5E1Q~.html?lid=Jmb6qJ9UxO.search.4&securityId=WyUZh1SAF9Set-z1QBx8PKCYX7MQOo7mpJzeZC2-f_tJ30jASJkDHktnxo_Mkd7w3TnfFXDpEXKOCRCllNilXu1mUC5LAL_w5XDd5kXUlWKWpa0~&sessionId=
5,大数据 平台开发,玉林福达香料,13-26K,3-5年,本科,上海·浦东新区·外高桥,"Hive,Hbase,Spark,大数据开发经验","['职责：', '1、负责CDH平台、及开源数据仓库平台\\调度等组件的搭建、调优；', '2、负责CDH平台的Troubleshooting及问题解决；', '3、ETL开发、数据采集等；', '要求：', '1、本科及以上学历，计算机相关专业', '2、熟练CDH搭建、调优、Troubleshooting、问题快速解决；', '3、具有负责过从0到1实际搭建并上线的企业CDH大数据平台项目经验（规模：10台以上物理服务器）；', '4、沟通顺畅，工作积极主动，擅长技术实现。']",上海浦东新区森兰美奂联合办公南楼C座,https://www.zhipin.com/job_detail/192cd9d0b02e5e0f1X1829u8FFZV.html?lid=Jmb6qJ9UxO.search.5&securityId=CVBeqVyvIijlC-o1ByYK03nak9paZsbdcYjAturklyCANSRptbDZxQsItxfJ2iEn5gJ2lPsZcioOJDNnSaX9um3UPZbF3flvLYUPfPn9WRSxiP01nRXx&sessionId=
6,大数据 一站式开发平台 JAVA 技术专家 上海,云之重器科技有限公司,30-60K·13薪,5-10年,本科,上海·徐汇区·田林,"Java,Spring,分布式系统开发经验,大数据处理经验,中大型项目架构设计经验,无留学背景偏好,大数据平台,Dataworks",,,https://www.zhipin.com/job_detail/349558792df176e51XJ_2t-7FFVZ.html?lid=Jmb6qJ9UxO.search.6&securityId=EfcN1YULXKE48-a1Mt_yW1e8AW_T1rjtPP_7A17eggctLVbbjoUgnV-vnY3gIIdyEz-eaU9eMOtjn44sGWOl13L9NIB-9ubvAZ8RIwGVLwL3FF4kQCM~&sessionId=
7,大数据 BI 云开发类 高级项目经理,神州数码,18-19K,5-10年,本科,上海·长宁区·北新泾,"PMP,实施交付经验,售前支持经验,销售支持/交付管理,大数据项目管理经验","['具有大数据，BI， 云相关经验', '快消零售，医药行业背景，具有服务过外企的经验', '中英文听说读写能力。', '性格外向、表达能力强,具有较强的沟通能力及交际技巧,具有亲和力。', '优秀的协调能力，能有效协调各种资源。', '具备团队合作意识，能够主动总结和分享自己的工作经验。', '具备多团队工作进度跟踪协调者经验优先。', '对项目工具：project、visio、Excel、SVN有使用经验者优先。', '具备PMP，ITIL，Scrum Master 证书优先。', '具备技术背景能力或参与过开发项目经验者优先。', '5年以上工作经验。', '加分项', '有以下行业经验：计算机软件·互联网']",上海长宁区神州数码(上海)科技园二层,https://www.zhipin.com/job_detail/f4e18c3007f71e061HR409q-EVJT.html?lid=Jmb6qJ9UxO.search.7&securityId=0WV1UjYJZ8Ry1-V1DqzDU8o-IXkrljU7-HzSU3-lPwWqhGqwBOOl7-WMcBacTHM7w3JiE-ln6plBpEeU0Rs_F6wLyGvSOc-waFDQf0bewSgPSQJDPQ~~&sessionId=
8,软件开发 Java c c++ python 大数据 算法,华为技术有限公司,20-30K,经验不限,本科,上海·浦东新区·金桥,"Java,C/C++,Python","['Java开发 ', '1、**本科以上学历， ', '2、JAVA基础扎实，充分理解面向对象，熟悉io、nio、多线程、设计模式、通信协议等基础技术；熟悉JVM 工作原理并掌握常见性能调优方法； ', '3、熟悉Spring、Springmvc、Mybatis、Hibernate等常用开发框架及特征，熟悉常用中间件Tomcat、Mq、Kafka等； ', '4、熟悉单元测试用例开发；熟悉软件技术文档的编写； ', '5、具备良好的文档编制习惯和代码书写规范； ', 'python开发 ', '1、计算机及相关专业本科以上学历； ', '2、熟练使用 JavaScript (es5,es6)、有TypeScript开发经验； ', '3、熟悉理解 VUE，React 前端框架，并有实际的开发经验； ', '4、有移动端 H5、小程序等开发经验，具有解决移动端不同移动设备不同版本的兼容问题的能力； ', '5、能解决常见浏览器兼容性问题，并有可行的解决办法； ', '6、具备良好的学习能力、沟通能力、分析及解决问题能力，优秀的团队协作精神； ', '前端开发： ', '1、计算机及相关专业本科以上学历', '2、熟练使用 JavaScript (es5,es6)、有TypeScript开发经验； ', '3、熟悉理解 VUE，React 前端框架，并有实际的开发经验； ', '4、有移动端 H5、小程序等开发经验，具有解决移动端不同移动设备不同版本的兼容问题的能力； ', '5、能解决常见浏览器兼容性问题，并有可行的解决办法； ', '6、具备良好的学习能力、沟通能力、分析及解决问题能力，优秀的团队协作精神； ', '大数据开发; ', '1、**本科以上学历 ', '2、熟悉flink/spark/hadoop/hbase/hive等分布式计算技术，熟悉其运行机制和体系结构； ', '3、三年以上大型数据仓库架构和建模经验，熟悉大型互联网企业仓库架构解决方案者优先； ', '4、有一定的数据分析和挖掘能力，能从海量数据提炼核心结果，及时发现和分析其中隐含的变化和问题； ', '5、能够通过数据化运营发现、分析问题和优化流程，推动数据处理流程自动化，提升团队运转效率； ', '6、思路清晰，对数据敏感，有良好的沟通表达能力和跨团队协调能力，乐于寻求挑战和突破自我； ', '软件测试： ', '1、**本科以上学历', '2、熟悉自动化测试理论并有相关测试经验2年以上，如接口/UI自动化等，能主导开展自动化专项测试，至少熟悉掌握一门开发语言，并运用到自动化项目中； ', '3、掌握某一种或多种专项测试如性能测试、安全测试等； ', '4、理解沟通能力强、工作积极主动、有团队精神； ', '5、具备广泛的技术视野和很好的技术前瞻性，对测试行业发展及测试效率提升有自己的思考']",上海浦东新区华为技术有限公司上海研究所12,https://www.zhipin.com/job_detail/ea351536659229bc1XNy3N-7FltR.html?lid=Jmb6qJ9UxO.search.8&securityId=wk8UbttUmtRMa-n1uKXjLv4qEDqKAWGiDQOZ5Yk2VGqNSIdmaMfPFOmYdmPPbOiOntFx7hZH6IzsQeeC0wHtrYw_jIIZHa182SbCHOwCq5mL5VyddPwGvrvIk1UqVzEQuYOvzbpUzQlItGVGVHNxqw~~&sessionId=
9,大数据etl工程师,数聚股份,15-21K,5-10年,本科,上海·徐汇区·漕河泾,"MySQL/Oracle/DB2,Kettle/Informatica,Tableau/Power BI","['岗位职责：', '1、 负责项目开发过程中的数据采集、清洗、加工、整合，并能够独立进行ETL开发和数据分析；', '2、参与数据仓库ETL流程优化及解决ETL相关技术问题；', '3、BI项目上的日常运维工作，包括BI相关的问题解决 和优化。', '任职要求：', '1、本科及以上学历；', '2、具备简单的ETL 相关的英文读写能力；', '3、熟悉DW/BI项目系统架构和基础知识，熟悉数据仓库、数据集市的建模理论；', '4、熟悉Oracle、SQLserver、Mysql、等主流数据库开发，熟练掌握SQL及存储过程；', '5、熟练使用ETL开发工具：如SSIS、Informatic等；', '6、有ETL项目经验，参与过完整的BI项目并有过完整的BI项目ETL实施经验，了解日常作业的部署和调度；', '7、有微软云开发经验者优先；', '8、 有较强分析问题的能力、团队协作能力、优秀的沟通能力和高度工作责任感。']",上海徐汇区数聚股份漕河泾开发区桂平路418号A27楼,https://www.zhipin.com/job_detail/219845661a8a15341HR_39S-ElNW.html?lid=Jmb6qJ9UxO.search.9&securityId=BkgvnB3JMy6gL-X1VnmUIBgTclL2QudiWvsni93jlzAkEiV0f3480j385stRqbdTmi-z8Een9ELFV94h0DuA46zBTNYlF4Yr5Rh8bdTm_aWt3Sg~&sessionId=
10,大数据etl工程师,创略科技,18-22K·13薪,3-5年,大专,上海·虹口区·北外滩,"Flink,Spark,Hive","['不是外包！！！！', '1、负责数据仓库的模型设计与开发，产出支持各业务发展的流量基础数据及公共主题数据，保障数据的准确性、易用性、时效性；', '2、海量实时数据仓库设计、建设、性能优化和稳定性保障；', '3、负责流量数据治理，协调流量上报SDK、配置生产系统等环节，优化数据质量；建设生产全链路质量监控体系，保障全链路质量 通过存储压缩、上报数据治理等方式提升资源利用率；', '4、研发各类自助化数据提取系统检索工具，快速支持产品运营统计分析需求，解放人力；', '任职要求：', '1、有三年及以上工作经验；', '2、熟悉hadoop、hive、hbase、spark等开源工具的架构，了解Mapreduce编程；掌握数据仓库建设的基本思路、有丰富的ETL经验；精通数据仓库原理，存储方式，理解离线数仓和实施数仓的需求和实现。', '3、精通Hive或spark或 Flink，有丰富的sql性能调优经验；熟悉Linux操作命令，能编写常用Shell或Python脚本；熟练掌握MYSQL数据库及常用SQL；理解OLAP， 和HOLAP/理解数仓主题，数仓维表，事实表/理解数据可视化原理/理解数据口径统一，数据需求梳理/有很强的业务sense。', '4、有数据统计系统或熟悉BI/DW原理和实施，数据仓库、数据集成、多维数据仓库设计、开发、架构经验者优先；', '5、具备出色的需求分析能力及快速学习能力，能深入理解复杂的业务逻辑,具备良好的团队合作精神，具备出色的沟通能力；']",上海虹口区浦江国际金融广场9楼,https://www.zhipin.com/job_detail/62a99be1da0192e01XN62Nu5EldS.html?lid=Jmb6qJ9UxO.search.10&securityId=j7cL6HV5YhzSz-41S_I_nbBGVzORhiF9WvCvF8u6YSBo4sk8MfSU5qSa-MxzWKqQ1vrVvzTN2YY-TzuGXG30lko7cjujmsLvlzrgZb_Q-3sRZfw~&sessionId=
